"subjID" "mean" "1" "2" "condition"
"sub108" NA NA NA "A"
"sub109" NA NA NA "A"
"sub110" NA NA NA "A"
"sub111" NA NA NA "A"
"sub112" NA NA NA "A"
"sub113" NA NA NA "A"
"sub59" NA NA NA "A"
"sub60" NA NA NA "A"
"sub61" NA NA NA "A"
"sub63" NA NA NA "A"
"sub64" NA NA NA "A"
"sub65" NA NA NA "A"
"sub75" NA NA NA "A"
"sub76" NA NA NA "A"
"sub78" NA NA NA "A"
"sub79" NA NA NA "A"
"sub82" NA NA NA "A"
"sub91" NA NA NA "A"
"sub92" NA NA NA "A"
"sub93" NA NA NA "A"
"sub01" NA NA NA "C"
"sub02" NA NA NA "C"
"sub03" NA NA NA "C"
"sub04" NA NA NA "C"
"sub05" NA NA NA "C"
"sub07" NA NA NA "C"
"sub08" NA NA NA "C"
"sub09" NA NA NA "C"
"sub10" NA NA NA "C"
"sub12" NA NA NA "C"
"sub15" NA NA NA "C"
"sub16" NA NA NA "C"
"sub18" NA NA NA "C"
"sub38" NA NA NA "C"
"sub39" NA NA NA "C"
"sub40" NA NA NA "C"
"sub41" NA NA NA "C"
"sub42" NA NA NA "C"
"sub43" NA NA NA "C"
"sub56" NA NA NA "C"
"sub100" NA NA NA "A"
"sub101" NA NA NA "A"
"sub102" NA NA NA "A"
"sub103" NA NA NA "A"
"sub104" NA NA NA "A"
"sub105" NA NA NA "A"
"sub106" NA NA NA "A"
"sub107" NA NA NA "A"
"sub114" NA NA NA "A"
"sub68" NA NA NA "A"
"sub69" NA NA NA "A"
"sub70" NA NA NA "A"
"sub71" NA NA NA "A"
"sub73" NA NA NA "A"
"sub83" NA NA NA "A"
"sub85" NA NA NA "A"
"sub87" NA NA NA "A"
"sub88" NA NA NA "A"
"sub89" NA NA NA "A"
"sub95" NA NA NA "A"
"sub96" NA NA NA "A"
"sub98" NA NA NA "A"
"sub99" NA NA NA "A"
"sub19" NA NA NA "C"
"sub24" NA NA NA "C"
"sub25" NA NA NA "C"
"sub26" NA NA NA "C"
"sub27" NA NA NA "C"
"sub31" NA NA NA "C"
"sub32" NA NA NA "C"
"sub34" NA NA NA "C"
"sub35" NA NA NA "C"
"sub45" NA NA NA "C"
"sub46" NA NA NA "C"
"sub47" NA NA NA "C"
"sub48" NA NA NA "C"
"sub49" NA NA NA "C"
"sub50" NA NA NA "C"
"sub51" NA NA NA "C"
"sub52" NA NA NA "C"
"sub53" NA NA NA "C"
"sub54" NA NA NA "C"
"sub57" NA NA NA "C"
"sub58" NA NA NA "C"
"sub01" NA NA NA "S"
"sub02" NA NA NA "S"
"sub03" NA NA NA "S"
"sub04" NA NA NA "S"
"sub05" NA NA NA "S"
"sub07" NA NA NA "S"
"sub08" NA NA NA "S"
"sub09" NA NA NA "S"
"sub10" NA NA NA "S"
"sub100" NA NA NA "S"
"sub101" NA NA NA "S"
"sub102" NA NA NA "S"
"sub103" NA NA NA "S"
"sub104" NA NA NA "S"
"sub105" NA NA NA "S"
"sub106" NA NA NA "S"
"sub107" NA NA NA "S"
"sub108" NA NA NA "S"
"sub109" NA NA NA "S"
"sub110" NA NA NA "S"
"sub111" NA NA NA "S"
"sub112" NA NA NA "S"
"sub113" NA NA NA "S"
"sub114" NA NA NA "S"
"sub12" NA NA NA "S"
"sub15" NA NA NA "S"
"sub16" NA NA NA "S"
"sub18" NA NA NA "S"
"sub19" NA NA NA "S"
"sub24" NA NA NA "S"
"sub25" NA NA NA "S"
"sub26" NA NA NA "S"
"sub27" NA NA NA "S"
"sub31" NA NA NA "S"
"sub32" NA NA NA "S"
"sub34" NA NA NA "S"
"sub35" NA NA NA "S"
"sub38" NA NA NA "S"
"sub39" NA NA NA "S"
"sub40" NA NA NA "S"
"sub41" NA NA NA "S"
"sub42" NA NA NA "S"
"sub43" NA NA NA "S"
"sub45" NA NA NA "S"
"sub46" NA NA NA "S"
"sub47" NA NA NA "S"
"sub48" NA NA NA "S"
"sub49" NA NA NA "S"
"sub50" NA NA NA "S"
"sub51" NA NA NA "S"
"sub52" NA NA NA "S"
"sub53" NA NA NA "S"
"sub54" NA NA NA "S"
"sub56" NA NA NA "S"
"sub57" NA NA NA "S"
"sub58" NA NA NA "S"
"sub59" NA NA NA "S"
"sub60" NA NA NA "S"
"sub61" NA NA NA "S"
"sub63" NA NA NA "S"
"sub64" NA NA NA "S"
"sub65" NA NA NA "S"
"sub68" NA NA NA "S"
"sub69" NA NA NA "S"
"sub70" NA NA NA "S"
"sub71" NA NA NA "S"
"sub73" NA NA NA "S"
"sub75" NA NA NA "S"
"sub76" NA NA NA "S"
"sub78" NA NA NA "S"
"sub79" NA NA NA "S"
"sub82" NA NA NA "S"
"sub83" NA NA NA "S"
"sub85" NA NA NA "S"
"sub87" NA NA NA "S"
"sub88" NA NA NA "S"
"sub89" NA NA NA "S"
"sub91" NA NA NA "S"
"sub92" NA NA NA "S"
"sub93" NA NA NA "S"
"sub95" NA NA NA "S"
"sub96" NA NA NA "S"
"sub98" NA NA NA "S"
"sub99" NA NA NA "S"
