"subjID" "choice" "RT"
"sub01" 2 0.4447
"sub01" 2 0.476
"sub01" 2 0.4057
"sub01" 2 1.1478
"sub01" 2 0.7081
"sub01" 2 0.8034
"sub01" 2 1.3721
"sub01" 2 0.4665
"sub01" 2 1.5292
"sub01" 2 1.1037
"sub01" 2 0.5717
"sub01" 2 0.6628
"sub01" 2 0.821
"sub01" 2 1.0017
"sub01" 2 0.4357
"sub01" 2 0.656
"sub01" 2 0.7443
"sub01" 2 0.9302
"sub01" 2 1.0241
"sub01" 2 1.2943
"sub01" 2 0.6223
"sub01" 2 1.0036
"sub01" 2 1.2951
"sub01" 2 0.606
"sub01" 2 0.658
"sub01" 2 0.7927
"sub01" 2 1.2105
"sub01" 2 1.282
"sub01" 2 0.5923
"sub01" 2 1.6135
"sub01" 2 0.8363
"sub01" 2 0.8216
"sub01" 2 0.5217
"sub01" 2 0.6175
"sub01" 2 0.9736
"sub01" 2 1.5586
"sub01" 2 1.2283
"sub01" 2 0.7385
"sub01" 2 1.039
"sub01" 2 1.0071
"sub01" 2 0.6296
"sub01" 2 0.8304
"sub01" 2 0.7374
"sub01" 2 0.6732
"sub01" 2 1.0258
"sub01" 2 0.7044
"sub01" 2 0.9166
"sub01" 2 1.0413
"sub01" 2 0.681
"sub01" 2 0.6874
"sub01" 2 0.603
"sub01" 2 0.9167
"sub01" 2 0.6496
"sub01" 2 1.1568
"sub01" 2 0.6545
"sub01" 2 0.6562
"sub01" 2 0.4729
"sub01" 2 0.4552
"sub01" 2 1.6958
"sub01" 2 0.5536
"sub01" 2 0.8846
"sub01" 2 0.8841
"sub01" 2 1.6908
"sub01" 2 0.6755
"sub01" 2 0.6838
"sub01" 2 1.3219
"sub01" 2 0.706
"sub01" 2 0.5723
"sub01" 2 0.6659
"sub01" 2 0.9614
"sub01" 2 0.8722
"sub01" 2 0.4948
"sub01" 2 0.8297
"sub01" 2 1.0537
"sub01" 2 0.4269
"sub01" 2 0.8943
"sub01" 2 0.7014
"sub01" 2 0.7768
"sub01" 2 1.0556
"sub01" 2 1.1558
"sub01" 2 0.4673
