"subjID" "choice" "RT"
"sub01" 2 0.4832
"sub01" 2 0.5986
"sub01" 2 0.5061
"sub01" 2 0.8255
"sub01" 2 0.4905
"sub01" 2 0.782
"sub01" 2 0.6836
"sub01" 2 0.9361
"sub01" 2 0.8232
"sub01" 2 1.1237
"sub01" 2 0.7901
"sub01" 2 0.9961
"sub01" 2 0.8705
"sub01" 2 0.8612
"sub01" 2 0.4734
"sub01" 2 1.7059
"sub01" 2 0.631
"sub01" 2 1.6708
"sub01" 2 1.0504
"sub01" 2 1
"sub01" 2 1.1934
"sub01" 2 0.9739
"sub01" 2 0.8317
"sub01" 2 0.7838
"sub01" 2 0.7648
"sub01" 2 1.3609
"sub01" 2 0.8804
"sub01" 2 1.2134
"sub01" 2 1.3669
"sub01" 2 1.2498
"sub01" 2 1.3216
"sub01" 2 0.8653
"sub01" 2 0.7005
"sub01" 2 0.8282
"sub01" 2 0.5296
"sub01" 2 0.772
"sub01" 2 0.6991
"sub01" 2 1.7937
"sub01" 2 1.0834
"sub01" 2 0.757
"sub01" 2 1.2124
"sub01" 2 0.8551
"sub01" 2 0.9242
"sub01" 2 0.9909
"sub01" 2 1.057
"sub01" 2 1.2382
"sub01" 2 1.0945
"sub01" 2 1.1602
"sub01" 2 1.7331
"sub01" 2 1.0993
"sub01" 2 0.7104
"sub01" 2 0.6183
"sub01" 2 1.4226
"sub01" 2 1.7324
"sub01" 2 1.0696
"sub01" 2 0.6802
"sub01" 2 1.571
"sub01" 2 1.3921
"sub01" 2 1.0349
"sub01" 2 0.8523
"sub01" 2 0.9428
"sub01" 2 0.4835
"sub01" 2 0.8085
"sub01" 2 1.4869
"sub01" 2 1.1119
"sub01" 2 0.7429
"sub01" 2 0.8921
"sub01" 2 1.2029
"sub01" 2 0.9012
"sub01" 2 0.7098
"sub01" 2 0.7984
"sub01" 2 1.8788
"sub01" 2 1.189
"sub01" 2 0.834
"sub01" 2 0.9968
"sub01" 2 1.2101
"sub01" 2 1.1653
"sub01" 2 0.8491
"sub01" 2 1.1625
"sub01" 2 1.5675
"sub01" 2 1.3978
"sub01" 2 0.5821
"sub01" 2 1.1833
"sub01" 2 0.7888
"sub01" 2 0.675
"sub01" 2 1.1556
"sub01" 2 1.3916
