"subjID" "choice" "RT" "altrep" "condition" "area"
"sub01" 2 0.4661 "2" "C" "AC"
"sub01" 2 0.7693 "2" "C" "AC"
"sub01" 2 0.6529 "2" "C" "AC"
"sub01" 2 1.852 "2" "C" "AC"
"sub01" 2 0.4942 "2" "C" "AC"
"sub01" 2 1.7153 "2" "C" "AC"
"sub01" 2 0.6417 "1" "C" "AC"
"sub01" 2 0.6951 "2" "C" "AC"
"sub01" 2 0.5212 "2" "C" "AC"
"sub01" 2 1.2823 "1" "C" "AC"
"sub01" 2 0.5843 "2" "C" "AC"
"sub01" 2 1.1378 "2" "C" "AC"
"sub01" 2 0.6408 "2" "C" "AC"
"sub01" 2 1.4263 "2" "C" "AC"
"sub01" 2 0.9893 "1" "C" "AC"
"sub01" 2 0.4472 "2" "C" "AC"
"sub01" 2 1.3973 "2" "C" "AC"
"sub01" 2 0.9741 "1" "C" "AC"
"sub01" 2 0.7718 "2" "C" "AC"
"sub01" 2 0.7926 "2" "C" "AC"
"sub01" 2 0.9733 "1" "C" "AC"
"sub01" 2 1.0322 "1" "C" "AC"
"sub01" 2 1.3994 "1" "C" "AC"
"sub01" 2 0.3975 "2" "C" "AC"
"sub01" 2 0.4175 "1" "C" "AC"
"sub01" 2 0.7733 "2" "C" "AC"
"sub01" 2 0.4038 "2" "C" "AC"
"sub01" 2 0.6545 "2" "C" "AC"
"sub01" 2 1.3618 "2" "C" "AC"
"sub01" 2 0.5295 "1" "C" "AC"
"sub01" 2 0.4942 "2" "C" "AC"
"sub01" 2 0.7885 "1" "C" "AC"
"sub01" 2 0.6261 "1" "C" "AC"
"sub01" 2 1.0799 "1" "C" "AC"
"sub01" 2 0.7845 "2" "C" "AC"
"sub01" 2 0.9001 "1" "C" "AC"
"sub01" 2 1.7019 "1" "C" "AC"
"sub01" 2 0.5087 "2" "C" "AC"
"sub01" 2 0.4724 "2" "C" "AC"
"sub01" 2 0.6169 "1" "C" "AC"
"sub01" 2 0.7526 "1" "C" "AC"
"sub01" 2 1.4323 "1" "C" "AC"
"sub01" 2 0.8301 "2" "C" "AC"
"sub01" 2 1.1526 "1" "C" "AC"
"sub01" 2 1.0231 "2" "C" "AC"
"sub01" 2 0.5155 "1" "C" "AC"
"sub01" 2 0.6524 "2" "C" "AC"
"sub01" 2 0.4369 "2" "C" "AC"
"sub01" 2 0.6958 "2" "C" "AC"
"sub01" 2 0.606 "2" "C" "AC"
"sub01" 2 1.2111 "1" "C" "AC"
"sub01" 2 0.5408 "1" "C" "AC"
"sub01" 2 0.4164 "2" "C" "AC"
"sub01" 2 0.6122 "2" "C" "AC"
"sub01" 2 0.4422 "2" "C" "AC"
"sub01" 2 0.6103 "1" "C" "AC"
"sub01" 2 0.4803 "2" "C" "AC"
"sub01" 2 0.8781 "1" "C" "AC"
"sub01" 2 1.3844 "1" "C" "AC"
"sub01" 2 0.5229 "1" "C" "AC"
"sub01" 2 0.4719 "2" "C" "AC"
"sub01" 2 0.6701 "1" "C" "AC"
"sub01" 2 0.439 "1" "C" "AC"
"sub01" 2 0.3892 "2" "C" "AC"
"sub01" 2 0.4587 "1" "C" "AC"
"sub01" 2 0.393 "2" "C" "AC"
"sub01" 2 0.4652 "1" "C" "AC"
"sub01" 2 1.3352 "2" "C" "AC"
"sub01" 2 0.6274 "1" "C" "AC"
"sub01" 2 1.1623 "2" "C" "AC"
"sub01" 2 1.0982 "2" "C" "AC"
"sub01" 2 0.4981 "1" "C" "AC"
"sub01" 2 1.3505 "2" "C" "AC"
"sub01" 2 0.4789 "2" "C" "AC"
"sub01" 2 0.8465 "2" "C" "AC"
"sub01" 2 0.5367 "1" "C" "AC"
"sub01" 2 0.4995 "1" "C" "AC"
"sub01" 2 0.975 "2" "C" "AC"
"sub01" 1 0.6578 "1" "C" "AC"
"sub01" 2 0.7951 "1" "C" "AC"
"sub01" 2 0.4382 "2" "C" "AC"
"sub01" 2 0.4212 "2" "C" "AC"
"sub01" 2 0.4851 "1" "C" "AC"
"sub01" 2 1.2479 "2" "C" "AC"
"sub01" 2 1.0635 "2" "C" "AC"
"sub01" 2 0.848 "2" "C" "AC"
"sub01" 2 1.0945 "2" "C" "AC"
"sub01" 2 0.9513 "1" "C" "AC"
"sub01" 2 0.8845 "2" "C" "AC"
"sub01" 2 0.5658 "2" "C" "AC"
"sub01" 2 0.691 "2" "C" "AC"
"sub01" 2 0.5604 "1" "C" "AC"
"sub01" 2 1.0734 "2" "C" "AC"
"sub01" 2 0.8881 "1" "C" "AC"
"sub01" 1 1.117 "2" "C" "AC"
"sub01" 2 0.9869 "2" "C" "AC"
"sub01" 2 0.3927 "2" "C" "AC"
"sub01" 2 0.663 "1" "C" "AC"
"sub01" 2 0.474 "2" "C" "AC"
"sub01" 2 1.3287 "1" "C" "AC"
"sub01" 2 0.7169 "1" "C" "AC"
"sub01" 2 0.4101 "2" "C" "AC"
"sub01" 2 1.4741 "2" "C" "AC"
"sub01" 2 0.6597 "2" "C" "AC"
"sub01" 2 0.5979 "2" "C" "AC"
"sub01" 2 1.2799 "2" "C" "AC"
"sub01" 2 0.7943 "2" "C" "AC"
"sub01" 2 0.5069 "2" "C" "AC"
"sub01" 2 1.5429 "2" "C" "AC"
"sub01" 2 0.4015 "1" "C" "AC"
"sub01" 2 0.4193 "1" "C" "AC"
"sub01" 2 0.9079 "2" "C" "AC"
"sub01" 2 0.4367 "2" "C" "AC"
"sub01" 2 0.6097 "1" "C" "AC"
"sub01" 2 0.5752 "2" "C" "AC"
"sub01" 2 0.492 "2" "C" "AC"
"sub01" 2 0.893 "2" "C" "AC"
"sub01" 2 0.4558 "2" "C" "AC"
"sub01" 2 1.7503 "1" "C" "AC"
"sub01" 2 0.6906 "1" "C" "AC"
"sub01" 2 0.4075 "2" "C" "AC"
"sub01" 2 0.828 "1" "C" "AC"
"sub01" 2 0.422 "2" "C" "AC"
"sub01" 2 1.1088 "1" "C" "AC"
